zone;base;base/deges;base/citiz
1;0.0;0.0;0.0
2;0.0;0.0;0.0
3;0.0;0.0;0.0
4;10.0;1.0;1.0
5;0.0;0.0;0.0
6;0.0;0.0;20.0
7;0.0;0.0;140.0
8;10.0;1.0;0.2
9;20.0;0.5;0.25
10;80.0;1.3333333333333333;0.5333333333333333
11;0.0;10.0;100.0
12;30.0;0.42857142857142855;0.375
13;70.0;1.75;0.4666666666666667
14;90.0;1.125;0.6923076923076923
15;90.0;1.2857142857142858;0.6428571428571429
16;30.0;0.75;0.2727272727272727
17;40.0;1.0;0.2857142857142857
18;40.0;1.0;0.4
19;90.0;1.8;0.8181818181818182
20;80.0;2.6666666666666665;1.0
21;50.0;1.25;0.4166666666666667
22;20.0;0.5;0.4
23;0.0;0.0;10.0
24;0.0;10.0;20.0
